เรียนเพลิน,แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เนินผาสุก,ต.วัฒนานคร อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
เขาจาน,ต.ท่าเกวียน อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
เนินสะอาด,ต.หนองน้ำใส อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
เขาพรมสุวรรณ,ต.แซร์ออ อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
เขาน้อย,ต.คลองน้ำใส อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
เหล่าอ้อย,ต.หนองสังข์ อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
เขาภูมิ่ง,ต.เขาฉกรรจ์ อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขาดิน,ต.หนองหว้า อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขาน้อยสามัคคี,ต.หนองหว้า อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขาสามสิบ,ต.เขาสามสิบ อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขาแหลม,ต.วังทอง อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เฉลียง(คุรุราษฎร์บำรุง),ต.เฉลียง อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
เทพนิมิต,ต.ตะแบกบาน อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
เตาเหล็ก-ลุมปุ๊ก,ต.กุดโบสถ์ อ.เสิงสาง จ.นครราชสีมา 30330,เขตพื้นที่การศึกษานครราชสีมา เขต 3
เมืองคง,ต.คูขาด อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
เก่าค้อ,ต.หนองมะนาว อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
เหลื่อมพิทยาสรรพ์,ต.บ้านเหลื่อม อ.บ้านเหลื่อม จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
เก่า-บ้านน้อย,ต.บ้านเก่า อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
เกาะลอย,ต.หนองกราด อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
เมืองตะโก,ต.หนองบัวตะเกียด อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
เขื่อน(ท่าพระประชาสรรค์),ต.หนองบัวละคร อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
เมืองเก่า,ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา,เขตพื้นที่การศึกษานครราชสีมา เขต 5
เปลาะปลอเมืองที(ประชารัฐสามัคคี),ต.ดอนชมพู อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
เพิก(รัฐประชาสามัคคี),ต.หลุมข้าว อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
เดิ่นหัวบึงวิทยา,ต.มะค่า อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
เปราะหอมพัฒนา,ต.พลสงคราม อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
เสลาถั่วแปบ,ต.พลสงคราม อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
เหล่าพิทยาคม,ต.จันอัด อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
เกรียมโนนสำโรง,ต.ขามเฒ่า อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
เมืองที,ต.เมืองปราสาท อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
เมืองนาท,ต.เมืองนาท อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
เสมา,ต.เมืองนาท อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
เหนือทัพรั้ง,ต.เมืองนาท อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
เสมา,ต.เสมาใหญ่ อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
เตยกระโตน,ต.ประทาย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
เขว้าวิทยา,ต.กระทุ่มราย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
เมืองปักสามัคคี,ต.เมืองปัก อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
เขาพญาปราบ,ต.ตะขบ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
เก่าปอแดง,ต.สะแกราช อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
เตยประชาบำรุง,ต.กระเบื้องใหญ่ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
เมืองพลับพลา,ต.เมืองพลับพลา อ.ห้วยแถลง จ.นครราชสีมา 30240,เขตพื้นที่การศึกษานครราชสีมา เขต 2
เมืองรัง,ต.หลุ่งประดู่ อ.ห้วยแถลง จ.นครราชสีมา 30240,เขตพื้นที่การศึกษานครราชสีมา เขต 2
เมืองไผ่,ต.หนองหลัก อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
เมืองเก่า,ต.โคราช อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
เลิศสวัสดิ์(ราษฎร์รังสรรค์วิทยา),ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30340,เขตพื้นที่การศึกษานครราชสีมา เขต 4
เขาแก้ว,ต.วังกะทะ อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
เขาจันทน์หอม,ต.ขนงพระ อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
เขาวง,ต.หนองน้ำแดง อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
เพ็ดน้อย,ต.เมืองพะไล อ.บัวลาย จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
เสว(ราษฎร์สามัคคี),ต.โนนประดู่ อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
เขากระโดง(ศิลาทองอุปถัมภ์),ต.เสม็ด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
