เรียนเพลิน,แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เหล่ากล้วยโนนสมพร,ต.เสอเพลอ อ.กุมภวาปี จ.อุดรธานี 41370,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เหล่าหมากจันทน์,ต.ท่าลี่ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เสาเล้าผักชีศรีสวัสดิ์,ต.โพธิ์ศรีสำราญ อ.โนนสะอาด จ.อุดรธานี -,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เชียงงาม,ต.หนองหาน อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เม็กดงเรือง,ต.หนองเม็ก อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เรืองชัย,ต.พังงู อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เชียงวิทยา,ต.บ้านเชียง อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เชียง(ประชาเชียงเชิด),ต.บ้านเชียง อ.หนองหาน จ.อุดรธานี 41320,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เพ็กคำบากหายโศก,ต.หนองไผ่ อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เหล่าอุดมทรัพย์สมบูรณ์,ต.บ้านจันทน์ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เมืองนาซำ,ต.นาไหม อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เหล่าหลวง,ต.วังทอง อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เมืองไพร,ต.บ้านม่วง อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
เขือน้ำ,ต.เขือน้ำ อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เทื่อม,ต.เขือน้ำ อ.บ้านผือ จ.อุดรธานี 41660,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เม็ก,ต.ข้าวสาร อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เมืองพาน,ต.เมืองพาน อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เจริญสุข,ต.นางัว อ.น้ำโสม จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เทพประทาน,ต.น้ำโสม อ.น้ำโสม จ.อุดรธานี 41210,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เชียงหวางสร้างลาน,ต.เชียงหวาง อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เหล่าดอนเงิน,ต.บ้านเหล่า อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เตาไห,ต.เตาไห อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เชียงดา,ต.เชียงดา อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
เพิ่ม(อรุโณอุปถัมป์),ต.นาแค อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เชียงดีกุดเชือม,ต.โนนทอง อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
เชียงกรม,ต.นาม่วง อ.ประจักษ์ศิลปาคม จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เมืองปัง,ต.อุ่มจาน อ.ประจักษ์ศิลปาคม จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
เสี้ยว,ต.เสี้ยว อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
