บัวมล (เจริญราษฎร์อุทิศ),แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
บางพระ,ต.ย่านยาว อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บ่อน้ำผุด,ต.ถ้ำสิงขร อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางขนุน,ต.บ้านทำเนียบ อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางปรุ,ต.คลองศก อ.พนม จ.สุราษฎร์ธานี 84250,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางโหว่,ต.พลูเถื่อน อ.พนม จ.สุราษฎร์ธานี 84250,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางหิน,ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี 84250,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางประสามัคคี,ต.เคียนซา อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางดี,ต.พ่วงพรมคร อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางใหญ่สามัคคี,ต.อรัญคามวารี อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บ่อพระ,ต.อิปัน อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางหยด,ต.อิปัน อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางน้ำเย็น,ต.ไทรขึง อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางรูป,ต.สินเจริญ อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางเหรียง,ต.สินเจริญ อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางใหญ่สินปุน,ต.สินเจริญ อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางใหญ่,ต.สาคู อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บ่อกรัง,ต.ท่าสะท้อน อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางประชาภิบาล,ต.บางมะเดื่อ อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บนไร่,ต.ตะปาน อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางหอย,ต.คลองน้อย อ.ชัยบุรี จ.สุราษฎร์ธานี 84350,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางปาน,ต.ไทรทอง อ.ชัยบุรี จ.สุราษฎร์ธานี 84350,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางกลาง,ต.บางริ้น อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
บางริ้น,ต.บางริ้น อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
บางนอน,ต.บางนอน อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
บางสีกิ้ม,ต.ทรายแดง อ.เมืองระนอง จ.ระนอง 85130,เขตพื้นที่การศึกษาระนอง เขต 1
บางนา,ต.บางพระใต้ อ.ละอุ่น จ.ระนอง 85130,เขตพื้นที่การศึกษาระนอง เขต 1
บางขุนแพ่ง,ต.บางพระเหนือ อ.ละอุ่น จ.ระนอง 85130,เขตพื้นที่การศึกษาระนอง เขต 1
บางเบน,ต.ม่วงกลวง อ.กะเปอร์ จ.ระนอง 85120,เขตพื้นที่การศึกษาระนอง เขต 1
บางปรุ,ต.กะเปอร์ อ.กะเปอร์ จ.ระนอง 85120,เขตพื้นที่การศึกษาระนอง เขต 1
บางหิน,ต.บางหิน อ.กะเปอร์ จ.ระนอง 85120,เขตพื้นที่การศึกษาระนอง เขต 1
บกกราย,ต.น้ำจืด อ.กระบุรี จ.ระนอง 85110,เขตพื้นที่การศึกษาระนอง เขต 1
บางกุ้ง,ต.น้ำจืด อ.กระบุรี จ.ระนอง 85110,เขตพื้นที่การศึกษาระนอง เขต 1
บางสองรา,ต.บางใหญ่ อ.กระบุรี จ.ระนอง 85110,เขตพื้นที่การศึกษาระนอง เขต 1
บางกล้วยนอก,ต.นาคา อ.สุขสำราญ จ.ระนอง 85120,เขตพื้นที่การศึกษาระนอง เขต 1
บางมัน,ต.นาคา อ.สุขสำราญ จ.ระนอง 85120,เขตพื้นที่การศึกษาระนอง เขต 1
บางคอย,ต.ท่ายาง อ.เมืองชุมพร จ.ชุมพร 86120,เขตพื้นที่การศึกษาชุมพร เขต 1
บางหลง,ต.ท่ายาง อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
บางไม้แก้วประชาสามัคคี,ต.รับร่อ อ.ท่าแซะ จ.ชุมพร 86190,เขตพื้นที่การศึกษาชุมพร เขต 1
บึงลัด,ต.หงษ์เจริญ อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
บ่ออิฐ,ต.ชุมโค อ.ปะทิว จ.ชุมพร 86160,เขตพื้นที่การศึกษาชุมพร เขต 1
บางจาก,ต.ชุมโค อ.ปะทิว จ.ชุมพร 86160,เขตพื้นที่การศึกษาชุมพร เขต 1
บนไร่,ต.ปากคลอง อ.ปะทิว จ.ชุมพร 86210,เขตพื้นที่การศึกษาชุมพร เขต 1
บ่อสำโรง,ต.ปากคลอง อ.ปะทิว จ.ชุมพร 86210,เขตพื้นที่การศึกษาชุมพร เขต 1
บางหยี,ต.บางน้ำจืด อ.หลังสวน จ.ชุมพร 86150,เขตพื้นที่การศึกษาชุมพร เขต 2
บ่ออิฐ,ต.เกาะแต้ว อ.เมืองสงขลา จ.สงขลา 90000,เขตพื้นที่การศึกษาสงขลา เขต 1
บางดาน,ต.พะวง อ.เมืองสงขลา จ.สงขลา 90000,เขตพื้นที่การศึกษาสงขลา เขต 1
บ่อโชน,ต.สะกอม อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
บ่อเตย,ต.ปากบาง อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
บ่อนํ้าส้ม,ต.เกาะสะบ้า อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
บ่อทอง,ต.สะบ้าย้อย อ.สะบ้าย้อย จ.สงขลา 90210,เขตพื้นที่การศึกษาสงขลา เขต 3
บาโหย,ต.บาโหย อ.สะบ้าย้อย จ.สงขลา 90210,เขตพื้นที่การศึกษาสงขลา เขต 3
บ่อตรุ,ต.บ่อตรุ อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
บางแฟบ,ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
บึงพิชัย,ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
บ่อหว้า,ต.ควนโส อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
บางเหรียง,ต.บางเหรียง อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
บางกลํ่า,ต.บางกล่ำ อ.บางกล่ำ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
บางไหน,ต.ปากรอ อ.สิงหนคร จ.สงขลา 90330,เขตพื้นที่การศึกษาสงขลา เขต 1
บันนังปุเลา,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
บูเกตยามู,อ.ควนโดน จ.สตูล 91160,เขตพื้นที่การศึกษาสตูล เขต 1
บ่อเจ็ดลูก,ต.ปากน้ำ อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
บากันโต๊ะทิด,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
บ่อหิน,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
บุโบย,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
บารายี,อ.ทุ่งหว้า จ.สตูล 91120,เขตพื้นที่การศึกษาสตูล เขต 1
บางยาง,อ.เมืองตรัง จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 1
บางเป้า,ต.บางเป้า อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
บางเตา,ต.คลองลุ อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
บางสัก,ต.บางสัก อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
บาตูปูเต๊ะ,ต.เกาะลิบง อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
บางหมากน้อย,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
บางสัก สาขาบ้านทุ่งค่าย,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
บางหมาก,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
บาตูปูเต๊ะ สาขาบ้านหลังเขา,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
บางด้วน,อ.ปะเหลียน จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
บ่อหิน,อ.สิเกา จ.ตรัง 92150,เขตพื้นที่การศึกษาตรัง เขต 2
บางค้างคาว,อ.สิเกา จ.ตรัง 92150,เขตพื้นที่การศึกษาตรัง เขต 2
บางพระ,ต.วังมะปราง อ.วังวิเศษ จ.ตรัง 92220,เขตพื้นที่การศึกษาตรัง เขต 2
บางคราม,อ.วังวิเศษ จ.ตรัง 92220,เขตพื้นที่การศึกษาตรัง เขต 2
บ้าหวี,อ.หาดสำราญ จ.ตรัง 92120,เขตพื้นที่การศึกษาตรัง เขต 1
บกหัก,อ.หาดสำราญ จ.ตรัง 92120,เขตพื้นที่การศึกษาตรัง เขต 1
บางมวง,ต.ฝาละมี อ.ปากพะยูน จ.พัทลุง 93120,เขตพื้นที่การศึกษาพัทลุง เขต 1
บ่อทราย,อ.ป่าพะยอม จ.พัทลุง 93110,เขตพื้นที่การศึกษาพัทลุง เขต 1
บานา,อ.เมืองปัตตานี จ.ปัตตานี 94000,เขตพื้นที่การศึกษาปัตตานี เขต 1
บาราเฮาะ,อ.เมืองปัตตานี จ.ปัตตานี 94000,เขตพื้นที่การศึกษาปัตตานี เขต 1
บางปลาหมอ,อ.เมืองปัตตานี จ.ปัตตานี 94000,เขตพื้นที่การศึกษาปัตตานี เขต 1
บาโงฆาดิง,อ.โคกโพธิ์ จ.ปัตตานี 94120,เขตพื้นที่การศึกษาปัตตานี เขต 2
บาเงง,อ.โคกโพธิ์ จ.ปัตตานี 94120,เขตพื้นที่การศึกษาปัตตานี เขต 2
บาโงกาเซาะ,อ.หนองจิก จ.ปัตตานี 94170,เขตพื้นที่การศึกษาปัตตานี เขต 1
บางราพา,อ.หนองจิก จ.ปัตตานี 94170,เขตพื้นที่การศึกษาปัตตานี เขต 1
บางทัน,อ.หนองจิก จ.ปัตตานี 94170,เขตพื้นที่การศึกษาปัตตานี เขต 1
บ่ออิฐ,ต.บ้านกลาง อ.ปะนาเระ จ.ปัตตานี 94130,เขตพื้นที่การศึกษาปัตตานี เขต 1
บางมะรวด,อ.ปะนาเระ จ.ปัตตานี 94130,เขตพื้นที่การศึกษาปัตตานี เขต 1
บางหมู,อ.ปะนาเระ จ.ปัตตานี 94130,เขตพื้นที่การศึกษาปัตตานี เขต 1
บูดน,อ.มายอ จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 2
บาโง,อ.มายอ จ.ปัตตานี 96160,เขตพื้นที่การศึกษาปัตตานี เขต 2
บาละแต,อ.มายอ จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 2
บูเกะกุง,อ.มายอ จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 2
บาตะกูโบ,อ.มายอ จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 2
บือจะ,อ.ทุ่งยางแดง จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 3
บาโงยือริง,อ.สายบุรี จ.ปัตตานี 94110,เขตพื้นที่การศึกษาปัตตานี เขต 3
บือเระ,อ.สายบุรี จ.ปัตตานี 94110,เขตพื้นที่การศึกษาปัตตานี เขต 3
บน,อ.สายบุรี จ.ปัตตานี 94110,เขตพื้นที่การศึกษาปัตตานี เขต 3
บาเลาะ,อ.สายบุรี จ.ปัตตานี 94110,เขตพื้นที่การศึกษาปัตตานี เขต 3
บาโงมูลง,อ.สายบุรี จ.ปัตตานี 94110,เขตพื้นที่การศึกษาปัตตานี เขต 3
บากง,อ.ยะหริ่ง จ.ปัตตานี 94150,เขตพื้นที่การศึกษาปัตตานี เขต 1
บางปู,อ.ยะหริ่ง จ.ปัตตานี 94150,เขตพื้นที่การศึกษาปัตตานี เขต 1
บือเจาะ,อ.ยะหริ่ง จ.ปัตตานี 94150,เขตพื้นที่การศึกษาปัตตานี เขต 1
บาโลย,อ.ยะหริ่ง จ.ปัตตานี 94190,เขตพื้นที่การศึกษาปัตตานี เขต 1
บูดี,อ.ยะหริ่ง จ.ปัตตานี 94150,เขตพื้นที่การศึกษาปัตตานี เขต 1
บินยา,อ.ยะรัง จ.ปัตตานี 94160,เขตพื้นที่การศึกษาปัตตานี เขต 2
บราโอ,อ.ยะรัง จ.ปัตตานี 94160,เขตพื้นที่การศึกษาปัตตานี เขต 2
บราโอ (สาขากุนิง),อ.ยะรัง จ.ปัตตานี 94160,เขตพื้นที่การศึกษาปัตตานี เขต 2
บูโกะ,อ.ยะรัง จ.ปัตตานี 94160,เขตพื้นที่การศึกษาปัตตานี เขต 2
บากง,อ.ยะรัง จ.ปัตตานี 94160,เขตพื้นที่การศึกษาปัตตานี เขต 2
บาโงยือแบ็ง,อ.กะพ้อ จ.ปัตตานี 94230,เขตพื้นที่การศึกษาปัตตานี เขต 3
บีติง,อ.กะพ้อ จ.ปัตตานี 94230,เขตพื้นที่การศึกษาปัตตานี เขต 3
บือแต,อ.กะพ้อ จ.ปัตตานี 94230,เขตพื้นที่การศึกษาปัตตานี เขต 3
บาโงย,ต.สะเตง อ.เมืองยะลา จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
บันนังบูโย,อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
บุเกะคละ,อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
บุดี,อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
บาโด,อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
บาตัน (ฟรอยด์รอสอนุสรณ์),อ.เมืองยะลา จ.ยะลา 95160,เขตพื้นที่การศึกษายะลา เขต 1
บุรินทร์ (บุญชอบ สาครินทร์),อ.เมืองยะลา จ.ยะลา 95160,เขตพื้นที่การศึกษายะลา เขต 1
บาแตตูแง,อ.เบตง จ.ยะลา 95110,เขตพื้นที่การศึกษายะลา เขต 3
บันนังกูแว,อ.บันนังสตา จ.ยะลา 95130,เขตพื้นที่การศึกษายะลา เขต 2
บางลาง,อ.บันนังสตา จ.ยะลา 95130,เขตพื้นที่การศึกษายะลา เขต 2
บาเจาะ,อ.บันนังสตา จ.ยะลา 95130,เขตพื้นที่การศึกษายะลา เขต 2
บ่อหิน,อ.ธารโต จ.ยะลา 95150,เขตพื้นที่การศึกษายะลา เขต 3
บัวทอง,อ.ธารโต จ.ยะลา 95150,เขตพื้นที่การศึกษายะลา เขต 3
บูเก๊ะฆลูโฆ,อ.ยะหา จ.ยะลา 95120,เขตพื้นที่การศึกษายะลา เขต 2
บาโงยซิแน,อ.ยะหา จ.ยะลา 95120,เขตพื้นที่การศึกษายะลา เขต 2
บาจุ,อ.ยะหา จ.ยะลา 95120,เขตพื้นที่การศึกษายะลา เขต 2
บายอ,อ.ยะหา จ.ยะลา 95120,เขตพื้นที่การศึกษายะลา เขต 2
บือยอง,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
บึงน้ำใส,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
บือเล็ง,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
บือมัง,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
บูเกะจือฆา,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
บูเกะบือราแง,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
บือดองพัฒนา,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
บันนังดามา,อ.กาบัง จ.ยะลา 95120,เขตพื้นที่การศึกษายะลา เขต 2
บาละ,อ.กาบัง จ.ยะลา 95120,เขตพื้นที่การศึกษายะลา เขต 2
บางมะนาว,อ.เมืองนราธิวาส จ.นราธิวาส 96000,เขตพื้นที่การศึกษานราธิวาส เขต 1
บือราเป๊ะ,อ.เมืองนราธิวาส จ.นราธิวาส 96000,เขตพื้นที่การศึกษานราธิวาส เขต 1
บือเจ๊าะ,อ.บาเจาะ จ.นราธิวาส 96170,เขตพื้นที่การศึกษานราธิวาส เขต 1
บือเระ,อ.บาเจาะ จ.นราธิวาส 96170,เขตพื้นที่การศึกษานราธิวาส เขต 1
บูเกะสูดอ,อ.บาเจาะ จ.นราธิวาส 96170,เขตพื้นที่การศึกษานราธิวาส เขต 1
บาตูฯ มิตรภาพที่ 66,อ.บาเจาะ จ.นราธิวาส 96170,เขตพื้นที่การศึกษานราธิวาส เขต 1
บือแนปีแย,อ.บาเจาะ จ.นราธิวาส 96170,เขตพื้นที่การศึกษานราธิวาส เขต 1
บลูกาสนอ,อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
บูเกะบากง,อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
บูเกะกอตอ,อ.ยี่งอ จ.นราธิวาส 96180,เขตพื้นที่การศึกษานราธิวาส เขต 1
บ่อทอง,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บือนังกือเปาะ,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บองอ,อ.ระแงะ จ.นราธิวาส 96220,เขตพื้นที่การศึกษานราธิวาส เขต 3
บาโงกูโบ,อ.ระแงะ จ.นราธิวาส 96220,เขตพื้นที่การศึกษานราธิวาส เขต 3
บละแต,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บาโงสะโต,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บระเอ็ง,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บาโงระนะ,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บาโง,อ.ระแงะ จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บลูกาฮีเล,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บาตง,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บลูกา,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บากง,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บูกิ๊ตยือแร,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บริจ๊ะ,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บือแรง,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บือเล็งใต้,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บาโงปูโละ,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บาโงปะแต,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1
บือแนนากอ,อ.ศรีสาคร จ.นราธิวาส 96210,เขตพื้นที่การศึกษานราธิวาส เขต 1
บางขุด,ต.ฆอเลาะ อ.แว้ง จ.นราธิวาส 96160,เขตพื้นที่การศึกษานราธิวาส เขต 2
บาโง,อ.แว้ง จ.นราธิวาส 96160,เขตพื้นที่การศึกษานราธิวาส เขต 2
บูเกะตา,อ.แว้ง จ.นราธิวาส 96160,เขตพื้นที่การศึกษานราธิวาส เขต 2
บาลูกายาอิง,อ.สุคิริน จ.นราธิวาส 96190,เขตพื้นที่การศึกษานราธิวาส เขต 2
บาโงฮูมอ,อ.สุไหงปาดี จ.นราธิวาส 96140,เขตพื้นที่การศึกษานราธิวาส เขต 2
บาโงกือเต,อ.สุไหงปาดี จ.นราธิวาส 96140,เขตพื้นที่การศึกษานราธิวาส เขต 2
บอเกาะ,อ.สุไหงปาดี จ.นราธิวาส 96140,เขตพื้นที่การศึกษานราธิวาส เขต 2
บาโงมาแย,อ.สุไหงปาดี จ.นราธิวาส 96140,เขตพื้นที่การศึกษานราธิวาส เขต 2
บือราแง,อ.สุไหงปาดี จ.นราธิวาส 96140,เขตพื้นที่การศึกษานราธิวาส เขต 2
บูเก๊ะบือแต,อ.จะแนะ จ.นราธิวาส 96220,เขตพื้นที่การศึกษานราธิวาส เขต 3
บูเก๊ะตาโมงมิตรภาพที่ 128,ต.บูกิต อ.เจาะไอร้อง จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บาโงดุดุง,อ.เจาะไอร้อง จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บาตาปาเซ,อ.เจาะไอร้อง จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บำรุงวิทย์,อ.เจาะไอร้อง จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3
บูกิต,อ.เจาะไอร้อง จ.นราธิวาส 96130,เขตพื้นที่การศึกษานราธิวาส เขต 3