ไผ่หมูขวิด,ต.ยี่ล้น อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไค่นุ่นหนองบัวบานวิทยา,ต.นาแซง อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ไร่บ้านไฮ่,ต.ไร่ อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
ไฮหย่อง (ภูเงินประชานุกูล),ต.ไฮหย่อง อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
ไฮ่ปลาโหล,ต.ปลาโหล อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ไทยเจริญ,ต.ส่องดาว อ.ส่องดาว จ.สกลนคร 47190,เขตพื้นที่การศึกษาสกลนคร เขต 2
ไร่นาดี,ต.แมดนาท่ม อ.โคกศรีสุพรรณ จ.สกลนคร 47280,เขตพื้นที่การศึกษาสกลนคร เขต 1
ไทยสามัคคี,ต.กุรุคุ อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ไผ่ล้อม,ต.อาจสามารถ อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ไชยศรี,ต.หนองแวง อ.บ้านแพง จ.นครพนม 48140,เขตพื้นที่การศึกษานครพนม เขต 2
ไร่,ต.ดงมอน อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
ไร่,ต.บ้านแหวน อ.หางดง จ.เชียงใหม่ 50230,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ไร่,ต.ดอยเต่า อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ไร่ สาขาทุ่งคอกช้าง,ต.ดอยเต่า อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ไร่,ต.แม่ตืน อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
ไม้ตะเคียน,ต.ตะเคียนปม อ.ทุ่งหัวช้าง จ.ลำพูน 51160,เขตพื้นที่การศึกษาลำพูน เขต 2
ไม้สลี,ต.ตะเคียนปม อ.ทุ่งหัวช้าง จ.ลำพูน 51160,เขตพื้นที่การศึกษาลำพูน เขต 2
ไร่ดง,ต.น้ำดิบ อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
ไร่,ต.พิชัย อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
ไหล่หิน,ต.ไหล่หิน อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
ไฮ,ต.ปงดอน อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
ไร่,ต.หัวเมือง อ.เมืองปาน จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
ไผ่ล้อมสามัคคี,ต.น้ำริด อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ไชยมงคล,ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์ 53140,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ไร่ตีนตก,ต.สองคอน อ.ฟากท่า จ.อุตรดิตถ์ 53160,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
ไร่ห้วยพี้,ต.ป่าคาย อ.ทองแสนขัน จ.อุตรดิตถ์ 53230,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ไผ่ย้อย,ต.น้ำเลา อ.ร้องกวาง จ.แพร่ 54140,เขตพื้นที่การศึกษาแพร่ เขต 1
ไผ่โทน(นวลราษฎร์วิทยา),ต.ไผ่โทน อ.ร้องกวาง จ.แพร่ 54140,เขตพื้นที่การศึกษาแพร่ เขต 1
ไฮสร้อย(คุรุราษฎร์บำรุง),ต.ปากกาง อ.ลอง จ.แพร่ 54150,เขตพื้นที่การศึกษาแพร่ เขต 2
ไผ่ล้อม(สำนักงานสลากกินแบ่งสงเคราะห์ 46,ต.หัวทุ่ง อ.ลอง จ.แพร่ 54150,เขตพื้นที่การศึกษาแพร่ เขต 2
ไทรย้อย,ต.ไทรย้อย อ.เด่นชัย จ.แพร่ 54110,เขตพื้นที่การศึกษาแพร่ เขต 2
ไร่หลวง,ต.นาพูน อ.วังชิ้น จ.แพร่,เขตพื้นที่การศึกษาแพร่ เขต 2
ไชยสถาน,ต.ไชยสถาน อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ไร่น้ำหิน,ต.สถาน อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
ไร่,ต.อวน อ.ปัว จ.น่าน 55120,เขตพื้นที่การศึกษาน่าน เขต 2
ไชยสถาน,ต.กลางเวียง อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
ไหล่น่าน,ต.ไหล่น่าน อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
ไพรอุดม,ต.แม่สาคร อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
ไร่,ต.แม่นาเรือ อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
ไชยพรม,ต.เวียง อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ไชยสถาน,ต.เชียงม่วน อ.เชียงม่วน จ.พะเยา 56160,เขตพื้นที่การศึกษาพะเยา เขต 2
ไร่อ้อย,ต.บ้านเหล่า อ.แม่ใจ จ.พะเยา 56130,เขตพื้นที่การศึกษาพะเยา เขต 1
ไร่อ้อย,ต.สันติสุข อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
ไร่,ต.แม่เงิน อ.เชียงแสน จ.เชียงราย 57150,เขตพื้นที่การศึกษาเชียงราย เขต 3
